排名,CPU,TDP,实际频率,核心,线程,L2,L3
168,Intel Core i7-2920XM,55,2500,4,8,1MB , 8MB
169,Intel Core i5-3470,77,3200,4,4,1MB , 6MB
170,Intel Core i7-3615QM,45,2300,4,8,1MB , 6MB
171,Intel Core i7-3610QM,45,2300,4,8,1MB , 6MB
172,AMD FX-8350,125,4000,8,8,8MB , 8MB
173,Intel Core i5-2500K,95,3300,4,4,1MB , 6MB
174,Intel Core i5-6600T,35,2700,4,4,1MB , 6MB
175,Intel Core i5-7300HQ,45,2500,4,4,1MB , 6MB
176,Intel Core i5-6440HQ,45,2600,4,4,1MB , 6MB
177,Intel Core i5-4460,84,3200,4,4,1MB , 6MB
178,Intel Core i7-3632QM,35,2200,4,8,1MB , 6MB
179,Intel Core i5-6350HQ,45,2300,4,4,1MB , 6MB
180,AMD Ryzen 3 2200G,65,3500,4,4,2MB , 4MB
181,Intel Core i5-6300HQ,45,2300,4,4,1MB , 6MB
182,Intel Core i5-8350U,15,1700,4,8,1MB , 6MB
183,AMD Ryzen 3 1200,65,3100,4,4,2MB , 8MB
184,Intel Core i5-7500T,35,2700,4,4,1MB , 6MB
185,Intel Core i5-4430,84,3000,4,4,1MB , 6MB
186,Intel Core i5-8250U,15,1600,4,8,1MB , 6MB
187,AMD Ryzen 5 2500U,15,2000,4,8,2MB , 4MB
188,AMD Ryzen 5 PRO 2500U,15,2000,4,8,2MB , 4MB
189,Intel Core i3-8100H,45,3000,4,4,1MB , 8MB
190,Intel Core i7-2760QM,45,2400,4,8,1MB , 6MB
191,Intel Core i5-7287U,28,3300,2,4,512KB , 4M
192,Intel Core i7-7560U,15,2400,2,4,512KB , 4M
194,Intel Core i3-8145U,15,2100,2,4,1MB , 4MB
195,Intel Core i5-6400,65,2700,4,4,1MB , 6MB
196,Intel Core i5-6500T,35,2500,4,4,1MB , 6MB
197,Intel Core i5-2400,95,3100,4,4,1MB , 6MB
198,Intel Core i7-2820QM,45,2300,4,8,1MB , 8MB
199,Intel Core i7-3612QM,35,2100,4,8,1MB , 6MB
200,Intel Core i7-2720QM,45,2200,4,8,1MB , 6MB
201,Intel Core i7-2675QM,45,2200,4,8,1MB , 6MB
202,Intel Core i7-2670QM,45,2200,4,8,1MB , 6MB
203,Intel Core i5-6400T,35,2200,4,4,1MB , 6MB
204,Intel Core i7-6567U,28,3300,2,4,512KB , 4M
205,Intel Core i5-7360U,15,2300,2,4,512KB , 4M
206,Intel Core i5-7267U,28,3100,2,4,512KB , 4M
207,AMD Ryzen 3 3300U,15,2100,4,4,2MB , 4MB
208,AMD Ryzen 3 PRO 3300U,15,2100,4,4,2MB , 4MB
209,AMD Ryzen 3 2300U,15,2000,4,4,2MB , 4MB
210,AMD Ryzen 3 PRO 2300U,15,2000,4,4,2MB , 4MB
211,Intel Core i7-7500U,15,2700,2,4,512KB , 4M
212,Intel Core i3-8130U,15,2200,2,4,1MB , 4MB
214,Intel Core i5-5350H,47,3000,2,4,512KB , 4M
215,Intel Core i5-7300U,15,2600,2,4,512KB , 3M
216,Intel Core i7-2635QM,45,2000,4,8,1MB , 6MB
217,Intel Core i7-2630QM,45,2000,4,8,1MB , 6MB
218,Intel Core i5-6287U,28,3100,2,4,512KB , 4M
219,Intel Core i7-5557U,28,3100,2,4,512KB , 4M
220,Intel Core i7-4610M,37,3000,2,4,512KB , 4M
221,Intel Core i7-4600M,37,2900,2,4,512KB , 4M
222,Intel Core i5-4340M,37,2900,2,4,512KB , 3M
223,Intel Core i5-5287U,28,2900,2,4,512KB , 3M
224,Intel Core i5-7260U,15,2200,2,4,512KB , 4M
225,Intel Core i5-6267U,28,2900,2,4,512KB , 4M
226,Intel Core i7-4578U,28,3000,2,4,512KB , 4M
227,Intel Core i5-4210H,47,2900,2,4,512KB , 3M
228,Intel Core i5-4330M,37,2800,2,4,512KB , 3M
229,Intel Core i7-3540M,35,3000,2,4,512KB , 4M
230,Intel Core i5-4200H,47,2800,2,4,512KB , 3M
231,Intel Core i7-4558U,28,2800,2,4,512KB , 4M
232,Intel Core i3-8121U,15,2200,2,4,512KB , 4M
233,Intel Core i5-5257U,28,2700,2,4,512KB , 3M
234,Intel Core i5-4308U,28,2800,2,4,512KB , 3M
235,AMD A10-6800K,100,4100,4,4,4MB,
236,Intel Core i5-4310M,37,2700,2,4,512KB , 3M
237,AMD A10-7850K,95,3700,4,4,4MB,
238,Intel Core i7-6600U,15,2600,2,4,512KB , 4M
239,Intel Core i7-6650U,15,2200,2,4,512KB , 4M
240,Intel Core i7-6560U,15,2200,2,4,512KB , 4M
241,Intel Core i5-7200U,15,2500,2,4,512KB , 3M
242,Intel Core i5-4300M,37,2600,2,4,512KB , 3M
243,Intel Core i3-7100H,35,3000,2,4,512KB , 3M
244,Intel Core i7-3520M,35,2900,2,4,512KB , 4M
245,Intel Core i7-6500U,15,2500,2,4,512KB , 4M
246,Intel Core i7-5600U,15,2600,2,4,512KB , 4M
247,Intel Core i7-5650U,15,2200,2,4,512KB , 4M
248,Intel Core i5-6360U,15,2000,2,4,512KB , 4M
249,Intel Core i5-4210M,37,2600,2,4,512KB , 3M
250,Intel Core i5-6300U,15,2400,2,4,512KB , 3M
251,Intel Core i5-4288U,28,2600,2,4,512KB , 3M
252,Intel Core i5-4278U,28,2600,2,4,512KB , 3M
253,Intel Core i5-3380M,35,2900,2,4,512KB , 3M
254,Intel Core i5-3360M,35,2800,2,4,512KB , 3M
255,AMD A10-7700K,95,3400,4,4,4MB,
256,AMD A8-7650K,95,3300,4,4,4MB,
257,Intel Core i3-3220,55,3300,2,4, 512KB, 3MB
258,Intel Core i5-4200M,37,2500,2,4,512KB , 3M
259,Intel Core i5-3340M,35,2700,2,4,512KB , 3M
260,Intel Core i7-2640M,35,2800,2,4,512KB , 4M
261,Intel Core i7-5500U,15,2400,2,4,512KB , 4M
262,Intel Core i7-5550U,15,2000,2,4,512KB , 4M
263,Intel Core i5-6260U,15,1800,2,4,512KB , 4M
264,Intel Core i5-3320M,35,2600,2,4,512KB , 3M
265,Intel Core i5-4258U,28,2400,2,4,512KB , 3M
266,AMD A8-6600K,100,3900,4,4,4MB,
267,AMD A10-5800K,100,3800,4,4,4MB,
268,Intel Core i5-3230M,35,2600,2,4,512KB , 3M
269,AMD A8-5600K,100,3600,4,4,4MB,
270,Intel Core i7-2620M,35,2700,2,4,512KB , 4M
271,Intel Core i7-4600U,15,2100,2,4,512KB , 4M
272,Intel Core i7-4650U,15,1700,2,4,512KB , 4M
273,Intel Core i3-7167U,28,2800,2,4,512KB , 3M
274,Intel Core i3-8109U,28,3000,2,4,512KB , 4M
275,Intel Core i5-6198DU,15,2300,2,4,512KB , 3M
276,Intel Core i5-6200U,15,2300,2,4,512KB , 3M
277,Intel Core i3-7130U,15,2700,2,4,512KB , 3M
278,Intel Core i3-6167U,28,2700,2,4,512KB , 3M
279,Intel Core i3-6100H,35,2700,2,4,512KB , 3M
280,Intel Core i5-5300U,15,2300,2,4,512KB , 3M
281,Intel Core i7-3687U,17,2100,2,4,512KB , 4M
282,Intel Core i5-5350U,15,1800,2,4,512KB , 3M
283,AMD A8-3850,100,2900,4,4,4MB,
284,Intel Core i7-4510U,15,2000,2,4,512KB , 4M
285,Intel Core i5-3210M,35,2500,2,4,512KB , 3M
286,Intel Core i7-8500Y,5,1500,2,4,512KB , 4M
287,Intel Core i5-2540M,35,2600,2,4,512KB , 3M
288,Intel Core i7-3667U,17,2000,2,4,512KB , 4M
289,Intel Core i7-4500U,15,1800,2,4,512KB , 4M
290,Intel Core i7-4550U,15,1500,2,4,512KB , 4M
291,Intel Core i7-7Y75,4,1300,2,4,512KB , 4M
292,Intel Core i5-8210Y,7,1600,2,4,512KB , 4M
293,Intel Core i5-8200Y,5,1300,2,4,512KB , 4M
294,Intel Core i5-4310U,15,2000,2,4,512KB , 3M
295,Intel Core i5-4360U,15,1500,2,4,512KB , 3M
296,AMD FX-9830P,25,3000,4,4,2MB,
297,Intel Core i7-3537U,17,2000,2,4,512KB , 4M
298,Intel Pentium G4500T,35,3000,2,2,512KB , 4M
299,AMD Ryzen 3 3200U,15,2600,2,4,1MB , 4MB
300,AMD Ryzen 3 2200U,15,2500,2,4,1MB , 4MB
301,AMD Ryzen 3 PRO 2200U,15,2500,2,4,1MB , 4MB
302,Intel Core i5-5200U,15,2200,2,4,512KB , 3M
303,Intel Core i5-5250U,15,1600,2,4,512KB , 3M
304,Intel Core i5-4300U,15,1900,2,4,512KB , 3M
305,Intel Core i5-4350U,15,1400,2,4,512KB , 3M
306,AMD PRO A12-9830B,25,3000,4,4,2MB,
307,Intel Core i5-2520M,35,2500,2,4,512KB , 3M
308,Intel Core i3-5157U,28,2500,2,4,512KB , 3M
309,Intel Core m3-8100Y,5,1100,2,4,512KB , 4M
310,Intel Core i5-7Y57,4,1200,2,4,512KB , 4M
311,Intel Core i5-7Y54,4,1200,2,4,512KB , 4M
312,Intel Core i3-6157U,28,2400,2,4,512KB , 3M
313,Intel Core i3-7100U,15,2400,2,4,512KB , 3M
